,Goals,HomeTeam,ShotsFor,ShotsAgainst,ShotsOnTargetFor,ShotsOnTargetAgainst,FoulsFor,FoulsAgainst,CornersFor,CornersAgainst,YellowsFor,YellowsAgainst,RedsFor,RedsAgainst
288,1,1,16,8,8,4,16,7,7,4,3,3,0,0
289,0,0,8,16,4,8,7,16,4,7,3,3,0,0
290,2,1,14,8,6,1,18,16,4,3,5,4,0,0
291,0,0,8,14,1,6,16,18,3,4,4,5,0,0
292,2,1,12,14,5,8,12,16,2,3,1,4,0,1
293,4,0,14,12,8,5,16,12,3,2,4,1,1,0
294,4,1,13,7,9,2,22,14,6,7,2,3,0,0
295,0,0,7,13,2,9,14,22,7,6,3,2,0,0
296,0,1,17,13,2,5,12,11,9,5,4,4,0,0
297,1,0,13,17,5,2,11,12,5,9,4,4,0,0
298,0,1,23,18,3,3,11,11,11,6,2,1,0,0
299,0,0,18,23,3,3,11,11,6,11,1,2,0,0
300,2,1,18,6,8,2,15,13,5,3,4,3,1,0
301,0,0,6,18,2,8,13,15,3,5,3,4,0,1
302,3,1,13,5,3,1,16,17,6,2,1,4,0,2
303,0,0,5,13,1,3,17,16,2,6,4,1,2,0
304,2,1,17,10,6,6,14,14,5,1,5,2,1,0
305,4,0,10,17,6,6,14,14,1,5,2,5,0,1
306,5,1,25,9,17,3,15,10,8,4,3,0,0,0
307,2,0,9,25,3,17,10,15,4,8,0,3,0,0
308,0,1,6,6,3,3,16,15,3,8,5,1,1,0
309,1,0,6,6,3,3,15,16,8,3,1,5,0,1
310,3,1,10,8,6,2,12,15,3,3,2,4,0,0
311,2,0,8,10,2,6,15,12,3,3,4,2,0,0
312,0,1,4,16,2,2,10,19,1,4,0,4,0,0
313,0,0,16,4,2,2,19,10,4,1,4,0,0,0
314,3,1,15,9,8,4,14,11,3,5,3,3,0,1
315,2,0,9,15,4,8,11,14,5,3,3,3,1,0
316,1,1,10,13,1,4,22,10,2,6,4,4,1,0
317,1,0,13,10,4,1,10,22,6,2,4,4,0,1
318,1,1,10,3,3,1,14,17,2,0,2,3,0,0
319,1,0,3,10,1,3,17,14,0,2,3,2,0,0
320,1,1,18,13,4,6,14,12,8,6,4,3,0,0
321,2,0,13,18,6,4,12,14,6,8,3,4,0,0
322,2,1,19,9,5,5,7,8,8,5,0,1,0,0
323,2,0,9,19,5,5,8,7,5,8,1,0,0,0
324,0,1,8,8,3,2,7,12,6,7,3,3,0,0
325,0,0,8,8,2,3,12,7,7,6,3,3,0,0
326,2,1,19,15,9,3,16,10,6,5,2,1,0,0
327,0,0,15,19,3,9,10,16,5,6,1,2,0,0
328,2,1,7,10,3,3,28,10,4,3,3,3,0,0
329,0,0,10,7,3,3,10,28,3,4,3,3,0,0
330,2,1,18,8,7,2,14,16,3,3,3,5,0,1
331,2,0,8,18,2,7,16,14,3,3,5,3,1,0
332,2,1,16,10,4,5,26,13,7,5,4,1,0,0
333,2,0,10,16,5,4,13,26,5,7,1,4,0,0
334,1,1,24,9,5,3,12,11,14,2,2,0,0,0
335,2,0,9,24,3,5,11,12,2,14,0,2,0,0
336,1,1,9,19,6,6,11,15,1,2,1,2,0,0
337,1,0,19,9,6,6,15,11,2,1,2,1,0,0
338,0,1,9,17,2,4,5,17,2,6,3,5,0,0
339,0,0,17,9,4,2,17,5,6,2,5,3,0,0
340,3,1,21,12,7,1,17,13,5,5,3,3,0,0
341,0,0,12,21,1,7,13,17,5,5,3,3,0,0
342,0,1,8,13,1,6,15,12,3,6,6,3,0,0
343,2,0,13,8,6,1,12,15,6,3,3,6,0,0
344,4,1,8,5,4,3,10,11,3,4,2,4,0,0
